"";"ADM2_EN";"mod1.classification"
"1";"KE027144";1
"2";"KE035190";1
"3";"KE029152";1
"4";"KE041234";2
"5";"KE044254";1
"6";"KE032174";2
"7";"KE007028";3
"8";"KE009040";3
"9";"KE030159";3
"10";"KE030158";4
"11";"KE030160";1
"12";"KE035192";1
"13";"KE045264";1
"14";"KE045263";1
"15";"KE045265";3
"16";"KE036197";3
"17";"KE036196";3
"18";"KE045261";4
"19";"KE041236";4
"20";"KE046273";4
"21";"KE040231";3
"22";"KE039219";3
"23";"KE004020";4
"24";"KE035191";4
"25";"KE037207";4
"26";"KE040229";5
"27";"KE012057";4
"28";"KE012058";4
"29";"KE001001";5
"30";"KE036195";4
"31";"KE026140";4
"32";"KE029154";3
"33";"KE007030";4
"34";"KE047276";4
"35";"KE007027";4
"36";"KE030162";5
"37";"KE008037";5
"38";"KE047284";4
"39";"KE047285";6
"40";"KE047283";4
"41";"KE047282";6
"42";"KE047286";6
"43";"KE029155";6
"44";"KE038215";6
"45";"KE033178";5
"46";"KE026137";8
"47";"KE007031";8
"48";"KE040230";8
"49";"KE014065";5
"50";"KE004019";5
"51";"KE003015";7
"52";"KE004018";7
"53";"KE021110";5
"54";"KE022112";9
"55";"KE022111";7
"56";"KE041235";12
"57";"KE020101";12
"58";"KE032169";12
"59";"KE022116";12
"60";"KE038213";12
"61";"KE043249";12
"62";"KE012052";13
"63";"KE012053";12
"64";"KE012051";9
"65";"KE007032";13
"66";"KE037210";13
"67";"KE011049";7
"68";"KE011050";13
"69";"KE001002";7
"70";"KE022113";13
"71";"KE022119";13
"72";"KE043246";13
"73";"KE039218";7
"74";"KE024131";4
"75";"KE017085";12
"76";"KE034184";13
"77";"KE034186";9
"78";"KE034183";12
"79";"KE034187";9
"80";"KE034185";5
"81";"KE003013";12
"82";"KE047288";13
"83";"KE021109";13
"84";"KE039220";12
"85";"KE021104";13
"86";"KE016077";13
"87";"KE024129";7
"88";"KE027145";7
"89";"KE043247";11
"90";"KE047280";14
"91";"KE043245";14
"92";"KE016079";14
"93";"KE028149";12
"94";"KE028150";15
"95";"KE027146";15
"96";"KE037208";15
"97";"KE022118";12
"98";"KE022117";9
"99";"KE047278";12
"100";"KE017088";11
"101";"KE017087";15
"102";"KE019095";9
"103";"KE021107";12
"104";"KE021106";15
"105";"KE022120";12
"106";"KE033177";9
"107";"KE003011";16
"108";"KE003012";9
"109";"KE047275";16
"110";"KE017084";9
"111";"KE039223";16
"112";"KE026139";16
"113";"KE002010";16
"114";"KE018089";12
"115";"KE018090";11
"116";"KE035188";16
"117";"KE035189";17
"118";"KE020103";17
"119";"KE001003";17
"120";"KE042240";11
"121";"KE042238";16
"122";"KE042239";15
"123";"KE015072";8
"124";"KE015073";5
"125";"KE015071";8
"126";"KE015074";8
"127";"KE015070";8
"128";"KE045268";8
"129";"KE045269";7
"130";"KE046270";7
"131";"KE036198";7
"132";"KE032171";7
"133";"KE032170";7
"134";"KE044260";5
"135";"KE044259";4
"136";"KE026136";18
"137";"KE009044";15
"138";"KE007029";12
"139";"KE031164";18
"140";"KE031165";18
"141";"KE031163";18
"142";"KE010048";18
"143";"KE005021";18
"144";"KE005022";12
"145";"KE047277";18
"146";"KE022122";12
"147";"KE001005";19
"148";"KE037200";19
"149";"KE022121";15
"150";"KE023126";15
"151";"KE038214";15
"152";"KE037199";10
"153";"KE002008";12
"154";"KE037202";10
"155";"KE013061";10
"156";"KE016081";18
"157";"KE003017";11
"158";"KE047287";7
"159";"KE017086";15
"160";"KE037201";11
"161";"KE003016";7
"162";"KE009043";15
"163";"KE009041";7
"164";"KE009042";7
"165";"KE009039";7
"166";"KE014063";11
"167";"KE021108";12
"168";"KE028147";11
"169";"KE028148";7
"170";"KE016075";8
"171";"KE040228";14
"172";"KE047290";12
"173";"KE021105";12
"174";"KE019096";11
"175";"KE002009";11
"176";"KE037206";11
"177";"KE016078";12
"178";"KE016080";12
"179";"KE017083";19
"180";"KE030161";7
"181";"KE027143";19
"182";"KE032166";5
"183";"KE029156";11
"184";"KE010045";4
"185";"KE002007";5
"186";"KE039216";5
"187";"KE042243";5
"188";"KE019098";15
"189";"KE037205";15
"190";"KE037204";10
"191";"KE001006";10
"192";"KE016082";15
"193";"KE006025";10
"194";"KE020100";21
"195";"KE015069";9
"196";"KE015067";9
"197";"KE015068";9
"198";"KE032168";15
"199";"KE032176";20
"200";"KE032175";18
"201";"KE040227";21
"202";"KE029153";20
"203";"KE033180";20
"204";"KE033179";20
"205";"KE033181";20
"206";"KE033182";20
"207";"KE037203";21
"208";"KE018093";21
"209";"KE043250";12
"210";"KE020102";23
"211";"KE013060";21
"212";"KE032167";21
"213";"KE010046";21
"214";"KE012056";21
"215";"KE046272";21
"216";"KE042244";14
"217";"KE001004";22
"218";"KE042242";22
"219";"KE045267";22
"220";"KE045266";22
"221";"KE044258";22
"222";"KE019099";22
"223";"KE018092";14
"224";"KE018091";21
"225";"KE019097";23
"226";"KE024132";23
"227";"KE003014";23
"228";"KE043248";23
"229";"KE041237";23
"230";"KE032173";23
"231";"KE044253";8
"232";"KE047279";20
"233";"KE047281";20
"234";"KE022115";11
"235";"KE014064";20
"236";"KE038212";24
"237";"KE026138";24
"238";"KE010047";11
"239";"KE025135";24
"240";"KE025134";8
"241";"KE025133";24
"242";"KE042241";24
"243";"KE037209";12
"244";"KE014066";11
"245";"KE024130";21
"246";"KE035193";21
"247";"KE039217";24
"248";"KE036194";11
"249";"KE012059";24
"250";"KE045262";10
"251";"KE027141";24
"252";"KE047289";24
"253";"KE043251";21
"254";"KE043252";21
"255";"KE032172";9
"256";"KE044255";9
"257";"KE044256";9
"258";"KE008035";24
"259";"KE006023";21
"260";"KE040225";21
"261";"KE040226";21
"262";"KE019094";21
"263";"KE013062";21
"264";"KE022114";21
"265";"KE030157";21
"266";"KE012055";21
"267";"KE012054";21
"268";"KE029151";21
"269";"KE039224";21
"270";"KE027142";10
"271";"KE023125";21
"272";"KE023128";21
"273";"KE023123";10
"274";"KE023127";17
"275";"KE023124";2
"276";"KE041232";17
"277";"KE041233";11
"278";"KE044257";2
"279";"KE038211";17
"280";"KE006026";11
"281";"KE008034";25
"282";"KE008033";2
"283";"KE008038";25
"284";"KE008036";25
"285";"KE039221";11
"286";"KE039222";25
"287";"KE046271";2
"288";"KE047274";25
"289";"KE006024";2
"290";"KE016076";25
