"";"ADM2_EN";"cluster"
"1";"KE027144";1
"2";"KE035190";1
"3";"KE029152";1
"4";"KE041234";4
"5";"KE044254";1
"6";"KE032174";4
"7";"KE007028";1
"8";"KE009040";1
"9";"KE030159";1
"10";"KE030158";1
"11";"KE030160";1
"12";"KE035192";1
"13";"KE045264";1
"14";"KE045263";1
"15";"KE045265";1
"16";"KE036197";1
"17";"KE036196";1
"18";"KE045261";1
"19";"KE041236";1
"20";"KE046273";1
"21";"KE040231";1
"22";"KE039219";1
"23";"KE004020";1
"24";"KE035191";1
"25";"KE037207";1
"26";"KE040229";1
"27";"KE012057";1
"28";"KE012058";1
"29";"KE001001";1
"30";"KE036195";1
"31";"KE026140";1
"32";"KE029154";1
"33";"KE007030";1
"34";"KE047276";1
"35";"KE007027";1
"36";"KE030162";1
"37";"KE008037";1
"38";"KE047284";1
"39";"KE047285";1
"40";"KE047283";1
"41";"KE047282";1
"42";"KE047286";1
"43";"KE029155";1
"44";"KE038215";1
"45";"KE033178";1
"46";"KE026137";1
"47";"KE007031";1
"48";"KE040230";1
"49";"KE014065";1
"50";"KE004019";1
"51";"KE003015";1
"52";"KE004018";1
"53";"KE021110";1
"54";"KE022112";1
"55";"KE022111";1
"56";"KE041235";1
"57";"KE020101";1
"58";"KE032169";1
"59";"KE022116";1
"60";"KE038213";1
"61";"KE043249";1
"62";"KE012052";1
"63";"KE012053";1
"64";"KE012051";1
"65";"KE007032";1
"66";"KE037210";1
"67";"KE011049";1
"68";"KE011050";1
"69";"KE001002";1
"70";"KE022113";1
"71";"KE022119";1
"72";"KE043246";1
"73";"KE039218";1
"74";"KE024131";1
"75";"KE017085";1
"76";"KE034184";1
"77";"KE034186";1
"78";"KE034183";1
"79";"KE034187";1
"80";"KE034185";1
"81";"KE003013";1
"82";"KE047288";1
"83";"KE021109";1
"84";"KE039220";1
"85";"KE021104";1
"86";"KE016077";1
"87";"KE024129";1
"88";"KE027145";1
"89";"KE043247";1
"90";"KE047280";2
"91";"KE043245";1
"92";"KE016079";2
"93";"KE028149";1
"94";"KE028150";1
"95";"KE027146";1
"96";"KE037208";1
"97";"KE022118";1
"98";"KE022117";1
"99";"KE047278";1
"100";"KE017088";1
"101";"KE017087";1
"102";"KE019095";1
"103";"KE021107";1
"104";"KE021106";1
"105";"KE022120";1
"106";"KE033177";1
"107";"KE003011";1
"108";"KE003012";1
"109";"KE047275";1
"110";"KE017084";1
"111";"KE039223";1
"112";"KE026139";1
"113";"KE002010";1
"114";"KE018089";1
"115";"KE018090";1
"116";"KE035188";1
"117";"KE035189";1
"118";"KE020103";1
"119";"KE001003";1
"120";"KE042240";1
"121";"KE042238";1
"122";"KE042239";1
"123";"KE015072";1
"124";"KE015073";1
"125";"KE015071";5
"126";"KE015074";1
"127";"KE015070";5
"128";"KE045268";1
"129";"KE045269";1
"130";"KE046270";1
"131";"KE036198";1
"132";"KE032171";1
"133";"KE032170";1
"134";"KE044260";1
"135";"KE044259";1
"136";"KE026136";1
"137";"KE009044";1
"138";"KE007029";1
"139";"KE031164";1
"140";"KE031165";1
"141";"KE031163";1
"142";"KE010048";1
"143";"KE005021";1
"144";"KE005022";1
"145";"KE047277";1
"146";"KE022122";1
"147";"KE001005";1
"148";"KE037200";1
"149";"KE022121";1
"150";"KE023126";1
"151";"KE038214";1
"152";"KE037199";1
"153";"KE002008";1
"154";"KE037202";1
"155";"KE013061";1
"156";"KE016081";1
"157";"KE003017";1
"158";"KE047287";1
"159";"KE017086";1
"160";"KE037201";1
"161";"KE003016";1
"162";"KE009043";1
"163";"KE009041";1
"164";"KE009042";1
"165";"KE009039";1
"166";"KE014063";1
"167";"KE021108";1
"168";"KE028147";1
"169";"KE028148";1
"170";"KE016075";2
"171";"KE040228";2
"172";"KE047290";1
"173";"KE021105";1
"174";"KE019096";1
"175";"KE002009";1
"176";"KE037206";1
"177";"KE016078";1
"178";"KE016080";1
"179";"KE017083";1
"180";"KE030161";1
"181";"KE027143";1
"182";"KE032166";1
"183";"KE029156";1
"184";"KE010045";1
"185";"KE002007";1
"186";"KE039216";1
"187";"KE042243";1
"188";"KE019098";1
"189";"KE037205";1
"190";"KE037204";1
"191";"KE001006";1
"192";"KE016082";1
"193";"KE006025";1
"194";"KE020100";1
"195";"KE015069";1
"196";"KE015067";1
"197";"KE015068";1
"198";"KE032168";1
"199";"KE032176";1
"200";"KE032175";1
"201";"KE040227";1
"202";"KE029153";1
"203";"KE033180";1
"204";"KE033179";1
"205";"KE033181";1
"206";"KE033182";1
"207";"KE037203";1
"208";"KE018093";1
"209";"KE043250";1
"210";"KE020102";1
"211";"KE013060";1
"212";"KE032167";1
"213";"KE010046";1
"214";"KE012056";1
"215";"KE046272";1
"216";"KE042244";2
"217";"KE001004";1
"218";"KE042242";1
"219";"KE045267";1
"220";"KE045266";1
"221";"KE044258";1
"222";"KE019099";1
"223";"KE018092";1
"224";"KE018091";1
"225";"KE019097";1
"226";"KE024132";1
"227";"KE003014";1
"228";"KE043248";1
"229";"KE041237";1
"230";"KE032173";1
"231";"KE044253";3
"232";"KE047279";1
"233";"KE047281";1
"234";"KE022115";1
"235";"KE014064";1
"236";"KE038212";1
"237";"KE026138";1
"238";"KE010047";1
"239";"KE025135";1
"240";"KE025134";3
"241";"KE025133";1
"242";"KE042241";1
"243";"KE037209";1
"244";"KE014066";1
"245";"KE024130";1
"246";"KE035193";1
"247";"KE039217";1
"248";"KE036194";1
"249";"KE012059";1
"250";"KE045262";1
"251";"KE027141";1
"252";"KE047289";1
"253";"KE043251";1
"254";"KE043252";1
"255";"KE032172";1
"256";"KE044255";1
"257";"KE044256";1
"258";"KE008035";1
"259";"KE006023";1
"260";"KE040225";1
"261";"KE040226";1
"262";"KE019094";1
"263";"KE013062";1
"264";"KE022114";1
"265";"KE030157";1
"266";"KE012055";1
"267";"KE012054";1
"268";"KE029151";1
"269";"KE039224";1
"270";"KE027142";1
"271";"KE023125";1
"272";"KE023128";1
"273";"KE023123";1
"274";"KE023127";1
"275";"KE023124";4
"276";"KE041232";1
"277";"KE041233";1
"278";"KE044257";4
"279";"KE038211";1
"280";"KE006026";1
"281";"KE008034";4
"282";"KE008033";4
"283";"KE008038";4
"284";"KE008036";4
"285";"KE039221";1
"286";"KE039222";4
"287";"KE046271";4
"288";"KE047274";4
"289";"KE006024";4
"290";"KE016076";4
