"";"ADM2_PCODE";"cluster"
"1";"KE001001";6
"2";"KE001002";7
"3";"KE001003";3
"4";"KE001004";4
"5";"KE001005";7
"6";"KE001006";4
"7";"KE002007";1
"8";"KE002008";4
"9";"KE002009";4
"10";"KE002010";4
"11";"KE003011";4
"12";"KE003012";4
"13";"KE003013";4
"14";"KE003014";4
"15";"KE003015";7
"16";"KE003016";7
"17";"KE003017";1
"18";"KE004018";7
"19";"KE004019";6
"20";"KE004020";1
"21";"KE005021";4
"22";"KE005022";4
"23";"KE006023";4
"24";"KE006024";3
"25";"KE006025";4
"26";"KE006026";9
"27";"KE007027";1
"28";"KE007028";7
"29";"KE007029";4
"30";"KE007030";1
"31";"KE007031";9
"32";"KE007032";4
"33";"KE008033";3
"34";"KE008034";3
"35";"KE008035";5
"36";"KE008036";3
"37";"KE008037";6
"38";"KE008038";3
"39";"KE009039";1
"40";"KE009040";7
"41";"KE009041";7
"42";"KE009042";7
"43";"KE009043";7
"44";"KE009044";7
"45";"KE010045";1
"46";"KE010046";4
"47";"KE010047";8
"48";"KE010048";4
"49";"KE011049";4
"50";"KE011050";4
"51";"KE012051";4
"52";"KE012052";4
"53";"KE012053";4
"54";"KE012054";4
"55";"KE012055";4
"56";"KE012056";4
"57";"KE012057";1
"58";"KE012058";1
"59";"KE012059";4
"60";"KE013060";4
"61";"KE013061";4
"62";"KE013062";4
"63";"KE014063";4
"64";"KE014064";4
"65";"KE014065";6
"66";"KE014066";8
"67";"KE015067";4
"68";"KE015068";4
"69";"KE015069";4
"70";"KE015070";2
"71";"KE015071";2
"72";"KE015072";6
"73";"KE015073";9
"74";"KE015074";6
"75";"KE016075";4
"76";"KE016076";3
"77";"KE016077";4
"78";"KE016078";4
"79";"KE016079";4
"80";"KE016080";4
"81";"KE016081";4
"82";"KE016082";7
"83";"KE017083";7
"84";"KE017084";4
"85";"KE017085";4
"86";"KE017086";7
"87";"KE017087";7
"88";"KE017088";8
"89";"KE018089";4
"90";"KE018090";9
"91";"KE018091";4
"92";"KE018092";4
"93";"KE018093";4
"94";"KE019094";4
"95";"KE019095";4
"96";"KE019096";4
"97";"KE019097";4
"98";"KE019098";7
"99";"KE019099";4
"100";"KE020100";4
"101";"KE020101";4
"102";"KE020102";4
"103";"KE020103";4
"104";"KE021104";4
"105";"KE021105";4
"106";"KE021106";7
"107";"KE021107";4
"108";"KE021108";4
"109";"KE021109";4
"110";"KE021110";9
"111";"KE022111";7
"112";"KE022112";4
"113";"KE022113";4
"114";"KE022114";4
"115";"KE022115";8
"116";"KE022116";4
"117";"KE022117";4
"118";"KE022118";7
"119";"KE022119";4
"120";"KE022120";4
"121";"KE022121";7
"122";"KE022122";4
"123";"KE023123";4
"124";"KE023124";3
"125";"KE023125";4
"126";"KE023126";7
"127";"KE023127";3
"128";"KE023128";7
"129";"KE024129";7
"130";"KE024130";4
"131";"KE024131";1
"132";"KE024132";4
"133";"KE025133";5
"134";"KE025134";10
"135";"KE025135";4
"136";"KE026136";4
"137";"KE026137";6
"138";"KE026138";5
"139";"KE026139";4
"140";"KE026140";1
"141";"KE027141";5
"142";"KE027142";4
"143";"KE027143";7
"144";"KE027144";3
"145";"KE027145";7
"146";"KE027146";7
"147";"KE028147";7
"148";"KE028148";7
"149";"KE028149";7
"150";"KE028150";7
"151";"KE029151";4
"152";"KE029152";7
"153";"KE029153";4
"154";"KE029154";7
"155";"KE029155";1
"156";"KE029156";4
"157";"KE030157";4
"158";"KE030158";1
"159";"KE030159";7
"160";"KE030160";7
"161";"KE030161";7
"162";"KE030162";6
"163";"KE031163";4
"164";"KE031164";4
"165";"KE031165";4
"166";"KE032166";6
"167";"KE032167";4
"168";"KE032168";7
"169";"KE032169";4
"170";"KE032170";7
"171";"KE032171";7
"172";"KE032172";4
"173";"KE032173";4
"174";"KE032174";3
"175";"KE032175";4
"176";"KE032176";4
"177";"KE033177";4
"178";"KE033178";9
"179";"KE033179";4
"180";"KE033180";4
"181";"KE033181";4
"182";"KE033182";4
"183";"KE034183";4
"184";"KE034184";4
"185";"KE034185";6
"186";"KE034186";4
"187";"KE034187";4
"188";"KE035188";4
"189";"KE035189";4
"190";"KE035190";7
"191";"KE035191";1
"192";"KE035192";7
"193";"KE035193";4
"194";"KE036194";4
"195";"KE036195";1
"196";"KE036196";7
"197";"KE036197";7
"198";"KE036198";1
"199";"KE037199";4
"200";"KE037200";7
"201";"KE037201";7
"202";"KE037202";4
"203";"KE037203";4
"204";"KE037204";4
"205";"KE037205";7
"206";"KE037206";4
"207";"KE037207";1
"208";"KE037208";7
"209";"KE037209";7
"210";"KE037210";4
"211";"KE038211";3
"212";"KE038212";5
"213";"KE038213";4
"214";"KE038214";7
"215";"KE038215";1
"216";"KE039216";9
"217";"KE039217";5
"218";"KE039218";1
"219";"KE039219";7
"220";"KE039220";4
"221";"KE039221";9
"222";"KE039222";3
"223";"KE039223";4
"224";"KE039224";4
"225";"KE040225";4
"226";"KE040226";4
"227";"KE040227";4
"228";"KE040228";4
"229";"KE040229";9
"230";"KE040230";6
"231";"KE040231";7
"232";"KE041232";3
"233";"KE041233";7
"234";"KE041234";3
"235";"KE041235";4
"236";"KE041236";1
"237";"KE041237";4
"238";"KE042238";4
"239";"KE042239";7
"240";"KE042240";4
"241";"KE042241";8
"242";"KE042242";4
"243";"KE042243";9
"244";"KE042244";7
"245";"KE043245";4
"246";"KE043246";4
"247";"KE043247";4
"248";"KE043248";4
"249";"KE043249";4
"250";"KE043250";7
"251";"KE043251";4
"252";"KE043252";4
"253";"KE044253";10
"254";"KE044254";7
"255";"KE044255";4
"256";"KE044256";4
"257";"KE044257";3
"258";"KE044258";4
"259";"KE044259";1
"260";"KE044260";9
"261";"KE045261";1
"262";"KE045262";4
"263";"KE045263";7
"264";"KE045264";1
"265";"KE045265";7
"266";"KE045266";4
"267";"KE045267";4
"268";"KE045268";6
"269";"KE045269";7
"270";"KE046270";1
"271";"KE046271";3
"272";"KE046272";4
"273";"KE046273";1
"274";"KE047274";3
"275";"KE047275";4
"276";"KE047276";1
"277";"KE047277";4
"278";"KE047278";4
"279";"KE047279";4
"280";"KE047280";7
"281";"KE047281";4
"282";"KE047282";1
"283";"KE047283";1
"284";"KE047284";1
"285";"KE047285";1
"286";"KE047286";1
"287";"KE047287";7
"288";"KE047288";4
"289";"KE047289";5
"290";"KE047290";4
